id,platform,customer,title,category,price,published_date,status,region
1,ЕИС,ГБУЗ ГКБ №1,Поставка медицинских перчаток,Медицина,1200000,2024-01-10,Завершена,Москва
2,РТС-Тендер,Администрация города,Ремонт тротуаров,Строительство,7800000,2024-01-12,Объявлена,Самарская область
3,СберАСТ,МУП Водоканал,Поставка насосного оборудования,Коммунальное хозяйство,3200000,2024-01-18,Завершена,Казань
4,Фабрикант,ГБУ Образование,Закупка ноутбуков,IT,2500000,2024-01-22,Объявлена,Москва
5,ЕИС,ФКУ Дорожное агентство,Ремонт автомобильных дорог,Строительство,15400000,2024-02-01,Объявлена,Ростовская область
6,СберАСТ,АО ЭнергоСеть,Поставка кабельной продукции,Энергетика,4100000,2024-02-05,Завершена,Новосибирская область
7,РТС-Тендер,МБУ Культура,Закупка звукового оборудования,Культура,980000,2024-02-10,Завершена,Пермский край
8,Фабрикант,ООО ТрансЛогистик,Оказание транспортных услуг,Логистика,1900000,2024-02-14,Отменена,Екатеринбург
9,ЕИС,ГБУ Социальная защита,Поставка мебели для учреждений,Мебель,1350000,2024-02-20,Завершена,Тверская область
10,СберАСТ,АО АйТи-Сервис,Разработка информационной системы,IT,3600000,2024-02-25,Объявлена,Москва
11,РТС-Тендер,ГБУЗ Поликлиника №3,Поставка медицинского оборудования,Медицина,6700000,2024-03-02,Завершена,Санкт-Петербург
12,Фабрикант,Администрация района,Благоустройство территории,Строительство,4200000,2024-03-05,Объявлена,Воронежская область
